time,Temperature (°C),Humidity (%),Precipitation (mm),Wind Speed (km/h),timestamp,FWI
2025-03-06 00:00:00,-3.5,78,0.0,6.5,2025-03-06 00:00:00,-7.550000000000001
2025-03-06 01:00:00,-3.5,78,0.0,6.1,2025-03-06 01:00:00,-7.630000000000001
2025-03-06 02:00:00,-3.7,78,0.0,7.4,2025-03-06 02:00:00,-7.430000000000001
2025-03-06 03:00:00,-3.7,79,0.0,8.7,2025-03-06 03:00:00,-7.2700000000000005
2025-03-06 04:00:00,-3.6,79,0.0,10.0,2025-03-06 04:00:00,-6.98
2025-03-06 05:00:00,-4.0,82,0.0,8.0,2025-03-06 05:00:00,-7.800000000000001
2025-03-06 06:00:00,-3.5,80,0.0,9.4,2025-03-06 06:00:00,-7.17
2025-03-06 07:00:00,-3.0,79,0.0,9.0,2025-03-06 07:00:00,-7.0
2025-03-06 08:00:00,-2.2,76,0.0,7.9,2025-03-06 08:00:00,-6.680000000000001
2025-03-06 09:00:00,-0.9,75,0.0,8.3,2025-03-06 09:00:00,-6.109999999999999
2025-03-06 10:00:00,0.6,69,0.0,9.9,2025-03-06 10:00:00,-4.74
2025-03-06 11:00:00,2.1,64,0.0,12.3,2025-03-06 11:00:00,-3.31
2025-03-06 12:00:00,3.3,57,0.0,14.5,2025-03-06 12:00:00,-1.81
2025-03-06 13:00:00,4.2,48,0.0,19.6,2025-03-06 13:00:00,0.3799999999999999
2025-03-06 14:00:00,4.7,45,0.0,20.1,2025-03-06 14:00:00,0.9300000000000006
2025-03-06 15:00:00,4.8,45,0.0,18.6,2025-03-06 15:00:00,0.6600000000000001
2025-03-06 16:00:00,4.8,45,0.0,15.6,2025-03-06 16:00:00,0.0600000000000005
2025-03-06 17:00:00,4.3,48,0.0,11.3,2025-03-06 17:00:00,-1.2500000000000009
2025-03-06 18:00:00,2.8,55,0.0,8.3,2025-03-06 18:00:00,-3.0
2025-03-06 19:00:00,1.2,61,0.0,6.5,2025-03-06 19:00:00,-4.44
2025-03-06 20:00:00,0.0,64,0.0,5.7,2025-03-06 20:00:00,-5.26
2025-03-06 21:00:00,-0.9,66,0.0,5.8,2025-03-06 21:00:00,-5.710000000000001
2025-03-06 22:00:00,-1.5,67,0.0,6.6,2025-03-06 22:00:00,-5.83
2025-03-06 23:00:00,-1.8,67,0.0,7.3,2025-03-06 23:00:00,-5.78
2025-03-07 00:00:00,-1.8,65,0.0,8.0,2025-03-07 00:00:00,-5.4399999999999995
2025-03-07 01:00:00,-1.9,65,0.0,8.6,2025-03-07 01:00:00,-5.35
2025-03-07 02:00:00,-2.0,67,0.0,9.1,2025-03-07 02:00:00,-5.48
2025-03-07 03:00:00,-1.9,68,0.0,8.0,2025-03-07 03:00:00,-5.7700000000000005
2025-03-07 04:00:00,-2.2,68,0.0,7.8,2025-03-07 04:00:00,-5.9
2025-03-07 05:00:00,-2.3,67,0.0,7.9,2025-03-07 05:00:00,-5.8100000000000005
2025-03-07 06:00:00,-2.5,66,0.0,7.7,2025-03-07 06:00:00,-5.8100000000000005
2025-03-07 07:00:00,-2.5,65,0.0,8.2,2025-03-07 07:00:00,-5.61
2025-03-07 08:00:00,-2.5,65,0.0,7.9,2025-03-07 08:00:00,-5.67
2025-03-07 09:00:00,-1.3,63,0.0,9.0,2025-03-07 09:00:00,-4.890000000000001
2025-03-07 10:00:00,0.6,56,0.0,10.5,2025-03-07 10:00:00,-3.3200000000000003
2025-03-07 11:00:00,1.9,50,0.0,10.7,2025-03-07 11:00:00,-2.29
2025-03-07 12:00:00,2.8,47,0.0,9.7,2025-03-07 12:00:00,-1.9200000000000004
2025-03-07 13:00:00,3.8,45,0.0,9.2,2025-03-07 13:00:00,-1.5200000000000005
2025-03-07 14:00:00,4.8,44,0.0,9.7,2025-03-07 14:00:00,-1.0200000000000005
2025-03-07 15:00:00,5.3,45,0.0,9.5,2025-03-07 15:00:00,-1.0099999999999998
2025-03-07 16:00:00,5.4,48,0.0,9.2,2025-03-07 16:00:00,-1.3400000000000007
2025-03-07 17:00:00,5.0,53,0.0,7.5,2025-03-07 17:00:00,-2.3000000000000007
2025-03-07 18:00:00,4.2,60,0.0,6.6,2025-03-07 18:00:00,-3.42
2025-03-07 19:00:00,3.3,64,0.0,4.7,2025-03-07 19:00:00,-4.470000000000001
2025-03-07 20:00:00,2.2,67,0.0,4.9,2025-03-07 20:00:00,-5.0600000000000005
2025-03-07 21:00:00,1.4,70,0.0,6.2,2025-03-07 21:00:00,-5.34
2025-03-07 22:00:00,1.9,69,0.0,8.0,2025-03-07 22:00:00,-4.73
2025-03-07 23:00:00,2.4,69,0.0,10.1,2025-03-07 23:00:00,-4.16
2025-03-08 00:00:00,2.5,68,0.0,6.3,2025-03-08 00:00:00,-4.790000000000001
2025-03-08 01:00:00,1.9,69,0.0,6.2,2025-03-08 01:00:00,-5.09
2025-03-08 02:00:00,1.5,69,0.0,6.0,2025-03-08 02:00:00,-5.25
2025-03-08 03:00:00,0.9,69,0.0,6.4,2025-03-08 03:00:00,-5.35
2025-03-08 04:00:00,0.6,69,0.0,5.6,2025-03-08 04:00:00,-5.6000000000000005
2025-03-08 05:00:00,0.4,68,0.0,4.9,2025-03-08 05:00:00,-5.700000000000001
2025-03-08 06:00:00,0.1,69,0.0,5.5,2025-03-08 06:00:00,-5.7700000000000005
2025-03-08 07:00:00,-0.1,68,0.0,5.4,2025-03-08 07:00:00,-5.750000000000001
2025-03-08 08:00:00,-0.3,67,0.0,4.7,2025-03-08 08:00:00,-5.85
2025-03-08 09:00:00,0.9,65,0.0,5.2,2025-03-08 09:00:00,-5.1899999999999995
2025-03-08 10:00:00,2.5,59,0.0,4.2,2025-03-08 10:00:00,-4.3100000000000005
2025-03-08 11:00:00,3.7,57,0.0,4.5,2025-03-08 11:00:00,-3.69
2025-03-08 12:00:00,5.1,55,0.0,7.7,2025-03-08 12:00:00,-2.43
2025-03-08 13:00:00,5.7,57,0.0,2.9,2025-03-08 13:00:00,-3.41
2025-03-08 14:00:00,6.9,55,0.0,6.5,2025-03-08 14:00:00,-2.13
2025-03-08 15:00:00,7.2,59,0.0,4.7,2025-03-08 15:00:00,-2.8000000000000003
2025-03-08 16:00:00,7.1,63,0.0,7.2,2025-03-08 16:00:00,-2.7300000000000004
2025-03-08 17:00:00,6.4,64,0.0,4.7,2025-03-08 17:00:00,-3.5400000000000005
2025-03-08 18:00:00,4.9,67,0.0,4.8,2025-03-08 18:00:00,-4.2700000000000005
2025-03-08 19:00:00,3.6,69,0.0,4.6,2025-03-08 19:00:00,-4.9
2025-03-08 20:00:00,3.4,69,0.0,2.7,2025-03-08 20:00:00,-5.34
2025-03-08 21:00:00,2.7,72,0.0,4.6,2025-03-08 21:00:00,-5.470000000000001
2025-03-08 22:00:00,1.9,75,0.0,5.7,2025-03-08 22:00:00,-5.79
2025-03-08 23:00:00,1.9,76,0.0,7.8,2025-03-08 23:00:00,-5.470000000000001
2025-03-09 00:00:00,2.4,74,0.0,11.8,2025-03-09 00:00:00,-4.32
2025-03-09 01:00:00,3.2,68,0.0,13.6,2025-03-09 01:00:00,-3.1200000000000006
2025-03-09 02:00:00,3.0,69,0.0,12.7,2025-03-09 02:00:00,-3.4600000000000004
2025-03-09 03:00:00,1.9,76,0.0,16.7,2025-03-09 03:00:00,-3.690000000000001
2025-03-09 04:00:00,0.5,91,0.0,15.0,2025-03-09 04:00:00,-5.949999999999999
2025-03-09 05:00:00,0.2,94,0.0,1.6,2025-03-09 05:00:00,-9.02
2025-03-09 06:00:00,-0.3,95,0.0,5.1,2025-03-09 06:00:00,-8.57
2025-03-09 07:00:00,-0.4,94,0.0,7.3,2025-03-09 07:00:00,-8.06
2025-03-09 08:00:00,-0.1,93,0.0,9.7,2025-03-09 08:00:00,-7.390000000000001
2025-03-09 09:00:00,0.9,89,0.0,11.0,2025-03-09 09:00:00,-6.43
2025-03-09 10:00:00,1.8,82,0.0,10.3,2025-03-09 10:00:00,-5.600000000000001
2025-03-09 11:00:00,2.5,76,0.0,10.5,2025-03-09 11:00:00,-4.75
2025-03-09 12:00:00,3.3,62,0.0,12.6,2025-03-09 12:00:00,-2.6900000000000004
2025-03-09 13:00:00,4.2,48,0.0,12.4,2025-03-09 13:00:00,-1.0600000000000005
