time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m
2025-03-07T00:00,-2.2,71,0.0,6.8
2025-03-07T01:00,-2.3,71,0.0,8.3
2025-03-07T02:00,-2.0,69,0.0,8.3
2025-03-07T03:00,-1.8,69,0.0,7.2
2025-03-07T04:00,-2.3,71,0.0,7.6
2025-03-07T05:00,-2.3,72,0.0,7.2
2025-03-07T06:00,-2.5,72,0.0,7.9
2025-03-07T07:00,-2.2,70,0.0,8.4
2025-03-07T08:00,-2.0,68,0.0,10.1
2025-03-07T09:00,-0.5,62,0.0,11.6
2025-03-07T10:00,1.1,55,0.0,11.8
2025-03-07T11:00,2.1,51,0.0,11.9
2025-03-07T12:00,2.8,49,0.0,10.9
2025-03-07T13:00,3.8,46,0.0,9.6
2025-03-07T14:00,4.6,45,0.0,10.2
2025-03-07T15:00,4.9,45,0.0,8.8
2025-03-07T16:00,4.8,48,0.0,7.3
2025-03-07T17:00,4.5,53,0.0,5.9
2025-03-07T18:00,3.9,58,0.0,5.1
2025-03-07T19:00,3.0,65,0.0,5.1
2025-03-07T20:00,2.5,68,0.0,4.0
2025-03-07T21:00,2.0,70,0.0,4.0
2025-03-07T22:00,1.9,71,0.0,4.6
2025-03-07T23:00,1.7,73,0.0,4.8
2025-03-08T00:00,1.2,72,0.0,4.8
2025-03-08T01:00,1.2,72,0.0,7.3
2025-03-08T02:00,1.6,70,0.0,8.2
2025-03-08T03:00,1.5,70,0.0,7.6
2025-03-08T04:00,1.2,70,0.0,7.1
2025-03-08T05:00,1.0,70,0.0,6.9
2025-03-08T06:00,0.9,70,0.0,7.2
2025-03-08T07:00,1.1,69,0.0,5.4
2025-03-08T08:00,0.8,68,0.0,5.6
2025-03-08T09:00,1.8,64,0.0,5.9
2025-03-08T10:00,2.5,60,0.0,4.6
2025-03-08T11:00,3.4,56,0.0,8.2
2025-03-08T12:00,4.2,55,0.0,5.9
2025-03-08T13:00,5.6,51,0.0,2.4
2025-03-08T14:00,7.2,46,0.0,2.6
2025-03-08T15:00,7.7,51,0.0,3.8
2025-03-08T16:00,6.8,60,0.0,4.0
2025-03-08T17:00,6.3,64,0.0,2.6
2025-03-08T18:00,5.8,66,0.0,1.3
2025-03-08T19:00,4.1,71,0.0,2.8
2025-03-08T20:00,2.0,79,0.0,2.9
2025-03-08T21:00,1.1,82,0.0,1.5
2025-03-08T22:00,1.1,82,0.0,0.4
2025-03-08T23:00,0.9,82,0.0,0.8
2025-03-09T00:00,0.6,84,0.0,2.1
2025-03-09T01:00,0.3,85,0.0,1.5
2025-03-09T02:00,-0.5,87,0.0,3.5
2025-03-09T03:00,-0.3,87,0.1,4.3
2025-03-09T04:00,-0.4,86,0.0,2.0
2025-03-09T05:00,-0.6,86,0.0,1.0
2025-03-09T06:00,-0.5,84,0.0,1.5
2025-03-09T07:00,-0.7,83,0.0,2.5
2025-03-09T08:00,-0.4,85,0.2,4.0
2025-03-09T09:00,0.1,88,0.4,4.7
2025-03-09T10:00,0.4,90,0.2,4.9
2025-03-09T11:00,0.2,94,0.1,6.9
2025-03-09T12:00,-0.2,97,0.7,5.4
2025-03-09T13:00,-0.2,97,0.9,7.4
2025-03-09T14:00,0.0,97,0.9,8.9
2025-03-09T15:00,0.3,96,0.5,10.7
2025-03-09T16:00,0.4,95,0.5,11.3
2025-03-09T17:00,0.4,95,0.4,12.7
2025-03-09T18:00,0.0,93,0.4,18.1
2025-03-09T19:00,-1.4,90,0.1,17.0
2025-03-09T20:00,-2.1,87,0.0,13.4
2025-03-09T21:00,-2.7,89,0.0,8.8
2025-03-09T22:00,-3.2,89,0.0,7.7
2025-03-09T23:00,-3.7,90,0.0,7.5
2025-03-10T00:00,-4.3,90,0.0,5.8
2025-03-10T01:00,-4.8,91,0.0,4.0
2025-03-10T02:00,-5.3,92,0.0,3.2
2025-03-10T03:00,-5.4,93,0.0,4.7
2025-03-10T04:00,-5.7,94,0.0,4.4
2025-03-10T05:00,-5.9,94,0.1,4.4
2025-03-10T06:00,-6.3,94,0.0,3.1
2025-03-10T07:00,-6.1,92,0.0,4.5
2025-03-10T08:00,-5.2,85,0.0,7.1
2025-03-10T09:00,-2.5,69,0.0,11.6
